Name,License Plate,State,Make,Model,Model Year,VIN,Fuel Type,Tank Capacity,Department,Location,Policy,Cards
#230,96DXLV,FL,TOYOTA,CAMRY,,4T1G11AK5RU232810,Unleaded Regular,15.8,Royal Transportation,Miami,Royal Regular Policy,YRX023
#231,97DXLV,FL,TOYOTA,CAMRY,2024,4T1G11AK2RU896580,Unleaded Regular,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX008
#232,KY965R,FL,Toyota,Camry,2024,4T1DAACK3SU522095,,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX046
#233,KY964R,FL,Toyota,Camry,2025,4T1DAACK7SU028712,Unleaded Regular,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX014
#234,RUII68,FL,Toyota,Camry,2025,4T1DAACK8SU027908,,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX017
#235,RUII67,FL,Toyota,Camry,2025,4T1DAACK9SU521095,,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX032
#236,RXCD21,,TOYOTA,SIENNA,2024,5TDKRKEC3RS212155,,18.0,Royal Transportation,Miami,Royal Hybrid Policy,
#237,RXCD22,,TOYOTA,SIENNA,2024,5TDKRKEC5RS212366,,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX082
#238,RUII72,FL,Toyota,Camry,2025,4T1DAACK8SU028766,,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX071
#239,RUII74,FL,TOYOTA,CAMRY,2025,4T1DAACK7SU027849,,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX022
#240,RUII73,FL,Toyota,Camry,2025,4T1DAACK9SU521291,,15.8,Royal Transportation,Miami,Royal Hybrid Policy,
#241,KP822Y,FL,TOYOTA,SIENNA,2024,5TDKRKECGRS207090,,18.0,Royal Transportation,Miami,Royal Hybrid Policy,
#242,RUII70,FL,Toyota,Sienna,2024,5TDKRKEC3RS206890,Unleaded Regular,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX101
#243,RUII71,FL,Toyota,Sienna,2024,5TDKRKECXRS206725,Unleaded Regular,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX102
#244,KP820Y,FL,Toyota,Sienna,2024,5TDKRKEC3RS212303,Unleaded Regular,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX107
#245,KP824Y,FL,Toyota,Camry,2025,4T1DAACK7SU043453,,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX103
#246,KP727Y,FL,Toyota,Camry,2025,4T1DAACK5SU042866,,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX105
#247,KP823Y,FL,Toyota,Camry,2025,4T1DAACK4SU038551,,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX104
#248,KP825Y,FL,TOYOTA,CAMRY,2024,4T1DAACK5SU536998,,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX110
#249,KP826Y,FL,TOYOTA,CAMRY,2025,4T1DAACK5SU536998,,15.8,Royal Transportation,Miami,Royal Hybrid Policy,YRX109
#250,RXCD23,,TOYOTA,SIENNA,2024,5TDKRKEC3RS212351,,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX144
#251,RXCD24,,TOYOTA,SIENNA,2024,5TDKRKEC8RS212118,,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX029
#252,RXCD25,,TOYOTA,SIENNA,2024,5TDKRKEC7RS212370,,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX137
#253,RAGL57,FL,TOYOTA,SIENNA,2025,,Unleaded Regular,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX011
#254,RAGL58,FL,Toyota,Sienna,2025,5TDKRKECXSS225510,,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX077
#255,RAGL59,FL,Toyota,Sienna,2025,,Unleaded Regular,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX132
#256,53ERQN,FL,FORD,TRANSIT,2024,1FBAX2C85RKB64878,,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX019
#257,54ERQN,,FORD,TRANSIT,2024,1FBAX2C80RKB64836,,25.0,,,,Royal Bus/Van Policy,YRX133
#258,74EXGS,FL,Toyota,Sienna,2025,5TDKRKEC9SS225935,Unleaded Regular,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX030
#259,76EXGS,FL,TOYOTA,SIENNA,2025,5TDKRKEC4SS226149,Unleaded Regular,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX145
#260,75EXGS,FL,TOYOTA,SIENNA,2025,5TDKRKEC3SS225963,Unleaded Regular,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX148
#261,DP19IF,FL,TOYOTA,SIENNA,2024,5TDKRKEC3RS218277,Unleaded Regular,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX038
#262,DJ51PU,FL,TOYOTA,SIENNA,2025,5TDKRKEC5SS226421,Unleaded Regular,18.0,Royal Transportation,Miami,Royal Hybrid Policy,YRX048
#263,DP18IF,FL,TOYOTA,SIENNA,2025,5TDKRKEC9SS225756,Unleaded Regular,18.0,Royal Transportation,Miami,Royal Hybrid Policy,
#310,LBAM33,FL,FORD,TRANSIT,2018,1FTYR2CM0JKA86693,Unleaded Super,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX149
#312,NMBD41,FL,RAM,,2019,3C6TRVPG6KE507392,Unleaded Regular,24.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX085
#313,PIQU43,FL,Ford,T250,2020,1FTYE1C8XLKA16808,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#314,PIQU45,FL,FORD,T250,2020,1FTYE1C80LKA16803,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#315,PIQU44,FL,Ford,T250,2020,1FTYE1C89LKA16797,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#316,QFXS71,FL,RAM,Promaster,2020,3C6TRVPG3LE122051,Unleaded Regular,24.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#317,QSQB07,,,,,3C6TRVPG0LE121052,Unleaded Regular,N/A,Royal Transportation,Miami,Royal Regular Policy,
#400,02DVVP,FL,FORD,TRANSIT,2016,1FBZX2ZM8GKA39393,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
DEFECT,73DHCW,FL,TOYOTA,COROLLA,2020,4T1G11AK2RU896580,Unleaded Regular,13.2,Royal Transportation,Miami,Royal Regular Policy,YRX028
